"행정구역(시군구)별","연령별",2015,2016,2017,2018,2019,2020,2021,2022
"행정구역(시군구)별","연령별",시도간전입 (명),시도간전입 (명),시도간전입 (명),시도간전입 (명),시도간전입 (명),시도간전입 (명),시도간전입 (명),시도간전입 (명)
"전국","계",2551424,2453342,2410930,2429184,2384948,2534114,2447234,2173605
"전국","0 - 4세",134021,125442,117946,111385,97677,93752,77659,63267
"전국","5 - 9세",90509,84492,82165,80899,75072,81107,72188,60184
"전국","10 - 14세",73916,62678,59020,58557,55810,57945,53577,47929
"전국","15 - 19세",125848,118413,115867,112226,114029,105158,99392,100532
"전국","20 - 24세",274420,278408,276132,280160,293906,320061,323378,307371
"전국","25 - 29세",340807,337785,345995,369026,381705,404255,407593,370700
"전국","30 - 34세",334889,307336,288254,277874,267541,282980,276020,252040
"전국","35 - 39세",242944,236784,238726,242157,229179,235780,210937,174928
"전국","40 - 44세",200328,181389,172978,168384,160378,175934,168025,148579
"전국","45 - 49세",165487,161009,160747,160670,155858,162177,146825,122497
"전국","50 - 54세",152177,141653,135429,136060,136094,148095,144861,127895
"전국","55 - 59세",135571,136733,134781,136264,127875,137215,129057,110359
"전국","60 - 64세",94053,98569,100574,106308,107343,124539,127641,109407
"전국","65 - 69세",61770,61305,61770,63412,61729,73738,77821,68027
"전국","70 - 74세",46140,42896,41407,42344,40833,46826,47399,39329
"전국","75 - 79세",34689,33627,33699,35358,32330,34279,32842,25823
"전국","80세이상",43855,44823,45440,48100,47589,50273,52019,44738
"서울특별시","계",459902,453687,454130,460131,475866,510014,461123,430576
"서울특별시","0 - 4세",17355,16117,15447,13914,13607,14144,10347,8405
"서울특별시","5 - 9세",12487,11593,11634,10947,12043,13284,10791,9107
"서울특별시","10 - 14세",11953,10423,10027,9622,10187,10543,8847,8295
"서울특별시","15 - 19세",25062,24235,24188,23807,25296,23109,20075,23341
"서울특별시","20 - 24세",63920,68057,68769,72125,76685,82089,79450,81824
"서울특별시","25 - 29세",76281,78214,82387,90257,95023,99948,96269,91887
"서울특별시","30 - 34세",61135,57913,56226,55525,55762,60858,53891,51539
"서울특별시","35 - 39세",39214,39216,40210,39991,40368,42988,35552,30203
"서울특별시","40 - 44세",32773,30223,28828,27239,27955,30909,27324,24747
"서울특별시","45 - 49세",27341,27031,27315,26754,27098,28028,23154,19912
"서울특별시","50 - 54세",24553,23077,21943,21583,22323,24562,22342,20355
"서울특별시","55 - 59세",21527,21596,21082,20488,20178,22339,18900,15937
"서울특별시","60 - 64세",14771,15502,15938,16786,17977,20735,19132,16165
"서울특별시","65 - 69세",10082,9820,9902,10175,10562,13094,13030,11044
"서울특별시","70 - 74세",7646,7266,6897,7247,7254,8521,8144,6463
"서울특별시","75 - 79세",5843,5602,5582,5905,5618,6105,5668,4517
"서울특별시","80세이상",7959,7802,7755,7766,7930,8758,8207,6835
"부산광역시","계",130686,118494,117467,107383,109594,121538,116166,104892
"부산광역시","0 - 4세",6771,5858,5417,4700,4316,4601,3683,2970
"부산광역시","5 - 9세",4611,3928,3468,3314,3303,3761,3178,2715
"부산광역시","10 - 14세",3636,2736,2384,2290,2302,2368,2182,1975
"부산광역시","15 - 19세",6715,5945,5794,5631,5849,5376,5171,5512
"부산광역시","20 - 24세",16582,16463,16470,16340,17932,19967,20458,19959
"부산광역시","25 - 29세",17424,16892,17814,17184,18281,19823,20025,18115
"부산광역시","30 - 34세",17263,14996,13643,11585,11425,13256,12841,11894
"부산광역시","35 - 39세",12508,11499,11696,10167,10035,11072,9726,8011
"부산광역시","40 - 44세",10227,8496,8233,6969,7014,8084,7713,6874
"부산광역시","45 - 49세",8402,7455,7508,6661,6573,7060,6369,5317
"부산광역시","50 - 54세",7079,5986,5876,5214,5299,6244,5927,5191
"부산광역시","55 - 59세",5987,5633,5755,5152,4959,5465,4984,4413
"부산광역시","60 - 64세",4396,4305,4505,4029,4255,5399,4973,4230
"부산광역시","65 - 69세",2801,2620,2831,2557,2626,3222,3144,2787
"부산광역시","70 - 74세",2177,1832,1943,1832,1699,1967,1963,1702
"부산광역시","75 - 79세",1759,1500,1714,1454,1437,1517,1329,1114
"부산광역시","80세이상",2348,2350,2416,2304,2289,2356,2500,2113
"대구광역시","계",92239,87506,85039,85537,81250,91180,83076,81567
"대구광역시","0 - 4세",4884,4885,4476,4129,3624,3310,2789,2701
"대구광역시","5 - 9세",3291,3170,3046,2845,2573,2703,2523,2526
"대구광역시","10 - 14세",2542,2204,2011,1807,1794,1710,1695,1872
"대구광역시","15 - 19세",4159,3808,3711,3576,3596,3671,3384,4728
"대구광역시","20 - 24세",10194,10455,10546,10753,11067,14198,12823,14318
"대구광역시","25 - 29세",13132,12937,13423,14099,13775,15859,15158,14001
"대구광역시","30 - 34세",12353,11235,10234,10002,9165,9817,9520,9252
"대구광역시","35 - 39세",8779,8432,8400,8289,7689,7803,6913,6320
"대구광역시","40 - 44세",7353,6528,6025,5702,5348,5958,5446,5412
"대구광역시","45 - 49세",6047,5645,5524,5429,4987,5507,4774,4223
"대구광역시","50 - 54세",5370,4725,4434,4627,4258,5090,4408,4047
"대구광역시","55 - 59세",4595,4221,4107,4387,3927,4548,3731,3378
"대구광역시","60 - 64세",3082,3124,3088,3386,3332,4079,3528,3228
"대구광역시","65 - 69세",1993,1913,1880,2118,1952,2375,2260,1938
"대구광역시","70 - 74세",1550,1283,1281,1250,1284,1523,1387,1261
"대구광역시","75 - 79세",1218,1154,1134,1199,1082,1187,963,756
"대구광역시","80세이상",1697,1787,1719,1939,1797,1842,1774,1606
"인천광역시","계",158601,150863,143071,146403,143933,146930,155824,155221
"인천광역시","0 - 4세",9563,8447,7293,6888,6015,5588,5775,6395
"인천광역시","5 - 9세",6084,5274,4860,4791,4502,4797,4934,5356
"인천광역시","10 - 14세",4740,3947,3389,3508,3360,3395,3480,3744
"인천광역시","15 - 19세",6553,6136,5537,5246,5374,5296,5232,5538
"인천광역시","20 - 24세",14453,14946,14755,15186,16248,16567,17149,16887
"인천광역시","25 - 29세",19326,19438,19915,21805,22515,22801,24779,23529
"인천광역시","30 - 34세",22375,20295,18397,17938,16869,17241,19481,20135
"인천광역시","35 - 39세",16471,15813,15160,15740,14977,14625,15190,15137
"인천광역시","40 - 44세",13408,12013,10881,10737,10459,11087,11852,12442
"인천광역시","45 - 49세",10531,10396,10040,10036,9959,10006,9869,9260
"인천광역시","50 - 54세",9624,9004,8191,8389,8526,8616,9172,9278
"인천광역시","55 - 59세",8267,8199,7970,8439,7739,8012,7934,7648
"인천광역시","60 - 64세",5551,5675,5685,6135,6303,6938,7689,7462
"인천광역시","65 - 69세",3687,3583,3460,3592,3565,4153,4642,4677
"인천광역시","70 - 74세",2898,2639,2587,2604,2411,2739,2912,2624
"인천광역시","75 - 79세",2323,2161,2050,2167,2017,1998,2202,1822
"인천광역시","80세이상",2747,2897,2901,3202,3094,3071,3532,3287
"광주광역시","계",73826,67594,65964,69189,67778,67646,64721,55458
"광주광역시","0 - 4세",4067,3811,3827,3574,3236,2972,2635,1798
"광주광역시","5 - 9세",2880,2661,2510,2526,2276,2152,1894,1647
"광주광역시","10 - 14세",2539,2017,1899,1806,1633,1569,1343,1311
"광주광역시","15 - 19세",3767,3505,3387,3269,3212,2987,2899,2654
"광주광역시","20 - 24세",7985,8220,7966,8775,9194,10252,10240,8947
"광주광역시","25 - 29세",9540,9233,9271,10405,10981,11210,11407,9728
"광주광역시","30 - 34세",9045,7985,7354,7233,6870,6950,6786,5881
"광주광역시","35 - 39세",6879,6131,6102,6416,6061,5770,5170,4197
"광주광역시","40 - 44세",6053,4853,4835,4736,4482,4423,4142,3584
"광주광역시","45 - 49세",4996,4376,4319,4507,4384,4342,3682,3194
"광주광역시","50 - 54세",4304,3659,3494,3779,3779,3735,3552,3111
"광주광역시","55 - 59세",3618,3420,3380,3762,3445,3400,3094,2663
"광주광역시","60 - 64세",2473,2377,2281,2627,2681,2870,2912,2467
"광주광역시","65 - 69세",1715,1531,1509,1750,1586,1575,1600,1357
"광주광역시","70 - 74세",1313,1133,1118,1132,1092,1079,1100,936
"광주광역시","75 - 79세",1044,1065,1076,1126,1056,833,797,627
"광주광역시","80세이상",1608,1617,1636,1766,1810,1527,1468,1356
"대전광역시","계",81165,80376,79793,79561,78429,81741,80030,75421
"대전광역시","0 - 4세",4672,4530,4176,3926,3311,3127,2845,2652
"대전광역시","5 - 9세",3104,2840,2737,2476,2304,2312,2038,1920
"대전광역시","10 - 14세",2354,1964,1890,1750,1666,1611,1405,1381
"대전광역시","15 - 19세",4369,4228,4406,4363,4309,4055,3861,3850
"대전광역시","20 - 24세",10316,11136,11263,11747,12620,14210,15111,14175
"대전광역시","25 - 29세",12607,13008,13237,13792,14326,15157,15515,14958
"대전광역시","30 - 34세",10946,10605,9934,9156,8883,9239,9493,9053
"대전광역시","35 - 39세",7518,7393,7532,7240,6936,6867,6071,5618
"대전광역시","40 - 44세",6004,5501,5251,5087,4593,4866,4540,4219
"대전광역시","45 - 49세",4778,4657,4760,4752,4679,4547,4072,3608
"대전광역시","50 - 54세",4005,3747,3699,3768,3840,4090,3828,3762
"대전광역시","55 - 59세",3376,3562,3506,3701,3374,3500,3136,2988
"대전광역시","60 - 64세",2220,2447,2581,2709,2767,3050,3020,2829
"대전광역시","65 - 69세",1440,1485,1486,1554,1503,1748,1771,1583
"대전광역시","70 - 74세",1155,1002,1025,1043,1001,1104,1050,938
"대전광역시","75 - 79세",946,902,899,958,858,815,791,609
"대전광역시","80세이상",1355,1369,1411,1539,1459,1443,1483,1278
"울산광역시","계",54262,44848,40410,39230,40073,40475,39412,36584
"울산광역시","0 - 4세",2724,2260,2014,1771,1691,1328,1040,964
"울산광역시","5 - 9세",1753,1388,1320,1220,1222,1196,881,867
"울산광역시","10 - 14세",1447,1032,850,825,879,858,723,695
"울산광역시","15 - 19세",2170,1887,1599,1550,1545,1412,1293,1300
"울산광역시","20 - 24세",6172,5674,4981,4837,4941,5432,6114,5840
"울산광역시","25 - 29세",8750,7541,6650,6791,7343,7674,7937,7591
"울산광역시","30 - 34세",7744,6055,5193,4574,4672,4699,4464,4389
"울산광역시","35 - 39세",5250,4339,4151,4034,3901,3670,3130,2778
"울산광역시","40 - 44세",4318,3195,2892,2685,2665,2785,2536,2429
"울산광역시","45 - 49세",3513,2754,2567,2478,2555,2505,2263,1914
"울산광역시","50 - 54세",3020,2293,2054,2154,2209,2296,2231,2062
"울산광역시","55 - 59세",2487,2058,1956,2066,2004,1981,1894,1610
"울산광역시","60 - 64세",1556,1438,1362,1433,1592,1735,1844,1533
"울산광역시","65 - 69세",954,798,824,778,878,952,1013,876
"울산광역시","70 - 74세",798,569,535,521,536,567,606,513
"울산광역시","75 - 79세",681,616,561,543,518,484,453,396
"울산광역시","80세이상",925,951,901,970,922,901,990,827
"세종특별자치시","계",70004,50506,58828,57983,54017,48889,46875,40237
"세종특별자치시","0 - 4세",6010,3796,4415,4003,3556,2656,2163,1843
"세종특별자치시","5 - 9세",5602,3277,3841,3666,3071,2682,2320,2112
"세종특별자치시","10 - 14세",4253,2287,2802,2509,2085,1888,1677,1594
"세종특별자치시","15 - 19세",3180,2164,2601,2596,2213,1890,1833,1608
"세종특별자치시","20 - 24세",4037,3520,4064,4303,3943,3931,4156,3670
