"행정구역(시군구)별","연령별",2019,2020,2021,2022
"행정구역(시군구)별","연령별",총전입 (명),총전입 (명),총전입 (명),총전입 (명)
"전국","계",7104398,7735491,7213422,6152155
"전국","0 - 4세",337461,337233,273394,217118
"전국","5 - 9세",296505,322547,283262,227879
"전국","10 - 14세",237099,249077,226828,191329
"전국","15 - 19세",330065,324253,286349,254246
"전국","20 - 24세",645758,714597,689609,617539
"전국","25 - 29세",918309,1014066,1005438,887067
"전국","30 - 34세",775276,846573,808172,722268
"전국","35 - 39세",720238,760067,661979,532993
"전국","40 - 44세",528184,588059,545260,469084
"전국","45 - 49세",534216,566053,494802,401090
"전국","50 - 54세",467459,519685,489341,417460
"전국","55 - 59세",420864,460420,419754,345647
"전국","60 - 64세",333844,390467,388617,327477
"전국","65 - 69세",192726,233689,240785,207874
"전국","70 - 74세",130302,150327,147399,121726
"전국","75 - 79세",100868,109369,101861,81214
"전국","80세이상",135224,149009,150572,130144
"서울특별시","계",1426493,1578127,1418187,1201527
"서울특별시","0 - 4세",52361,56557,42939,31351
"서울특별시","5 - 9세",46641,52750,44356,34179
"서울특별시","10 - 14세",43290,45462,40491,33499
"서울특별시","15 - 19세",64409,63083,54476,49870
"서울특별시","20 - 24세",148841,164159,155569,146013
"서울특별시","25 - 29세",225583,248191,236684,212173
"서울특별시","30 - 34세",179166,201802,180307,160202
"서울특별시","35 - 39세",144286,158442,132083,104613
"서울특별시","40 - 44세",98888,113320,101287,84917
"서울특별시","45 - 49세",100063,106038,89492,70685
"서울특별시","50 - 54세",82913,93476,85600,71267
"서울특별시","55 - 59세",73398,81458,70360,55200
"서울특별시","60 - 64세",61734,71301,66394,52594
"서울특별시","65 - 69세",37255,45354,45387,36976
"서울특별시","70 - 74세",25933,30127,28554,22300
"서울특별시","75 - 79세",19060,20941,19462,15288
"서울특별시","80세이상",22672,25666,24746,20400
"부산광역시","계",411704,491829,441323,383848
"부산광역시","0 - 4세",17784,21059,15037,13461
"부산광역시","5 - 9세",15656,20169,15844,13842
"부산광역시","10 - 14세",11632,14279,11947,10510
"부산광역시","15 - 19세",18256,19213,16071,14666
"부산광역시","20 - 24세",41342,48371,46587,42610
"부산광역시","25 - 29세",52961,61372,61396,53530
"부산광역시","30 - 34세",43074,51794,49049,45281
"부산광역시","35 - 39세",40380,47688,39388,33198
"부산광역시","40 - 44세",29135,36509,32551,29231
"부산광역시","45 - 49세",30021,34610,28788,23881
"부산광역시","50 - 54세",26335,32152,28895,24785
"부산광역시","55 - 59세",24643,29164,25248,20470
"부산광역시","60 - 64세",21543,27277,25093,20767
"부산광역시","65 - 69세",13518,17604,16976,14410
"부산광역시","70 - 74세",9262,11490,10982,9011
"부산광역시","75 - 79세",7135,8462,7336,5701
"부산광역시","80세이상",9027,10616,10135,8494
"대구광역시","계",312419,347248,304761,265354
"대구광역시","0 - 4세",14192,14809,11760,10170
"대구광역시","5 - 9세",12406,14160,12217,10918
"대구광역시","10 - 14세",10453,11064,9877,8999
"대구광역시","15 - 19세",14140,14372,11843,11665
"대구광역시","20 - 24세",27897,33122,29199,28167
"대구광역시","25 - 29세",37982,43453,41207,36189
"대구광역시","30 - 34세",30911,35231,32837,30045
"대구광역시","35 - 39세",29709,31931,26920,22717
"대구광역시","40 - 44세",23431,26398,23186,20859
"대구광역시","45 - 49세",24183,26136,21825,17870
"대구광역시","50 - 54세",21558,24483,21003,17807
"대구광역시","55 - 59세",19706,21308,17704,14021
"대구광역시","60 - 64세",15832,18020,15903,12815
"대구광역시","65 - 69세",10156,11703,10667,8502
"대구광역시","70 - 74세",6802,7555,6705,5357
"대구광역시","75 - 79세",5804,5885,4721,3444
"대구광역시","80세이상",7257,7618,7187,5809
"인천광역시","계",420014,444556,433137,395140
"인천광역시","0 - 4세",20491,20102,17376,16087
"인천광역시","5 - 9세",17339,18983,16967,15965
"인천광역시","10 - 14세",13261,14232,13476,12554
"인천광역시","15 - 19세",17112,17333,15727,14274
"인천광역시","20 - 24세",35851,37934,36636,32692
"인천광역시","25 - 29세",52335,56200,57595,50763
"인천광역시","30 - 34세",44926,48191,49455,46990
"인천광역시","35 - 39세",43629,44476,41266,37255
"인천광역시","40 - 44세",31847,34859,34015,32732
"인천광역시","45 - 49세",32234,33415,30386,26333
"인천광역시","50 - 54세",28908,29996,29645,27174
"인천광역시","55 - 59세",26760,27771,26554,23092
"인천광역시","60 - 64세",20696,23361,24146,22021
"인천광역시","65 - 69세",11403,13542,14585,14068
"인천광역시","70 - 74세",8157,8898,9245,8311
"인천광역시","75 - 79세",6339,6324,6421,5590
"인천광역시","80세이상",8726,8939,9642,9239
"광주광역시","계",217130,226163,212888,182924
