,시도간전입(2015),시도간전입(2016),시도간전입(2017),시도간전입(2018),시도간전입(2019),시도간전입(2020),시도간전입(2021),시도간전입(2022)
전국,950116,923529,910381,927060,943152,1007296,1006991,930111
서울특별시,201336,204184,207382,217907,227470,242895,229610,225250
부산광역시,51269,48351,47927,45109,47638,53046,53324,49968
대구광역시,35679,34627,34203,34854,34007,39874,37501,37571
인천광역시,56154,54679,53067,54929,55632,56609,61409,60551
광주광역시,26570,25438,24591,26413,27045,28412,28433,24556
대전광역시,33869,34749,34434,34695,35829,38606,40119,38186
울산광역시,22666,19270,16824,16202,16956,17805,18515,17820
세종특별자치시,18337,15087,16930,17533,17123,15661,15947,14034
경기도,226364,227795,219003,231866,231366,255882,254269,216062
강원특별자치시도,31975,28723,28563,26014,27480,28980,29538,27502
충청북도,29814,28562,28242,30125,30019,32006,32987,31916
충청남도,46431,44812,45559,44362,42800,45943,46678,44475
전라북도,23514,22571,22103,20322,20508,22106,22857,20772
전라남도,33381,30201,29044,28932,29942,29098,28368,25862
경상북도,48719,43570,42062,41760,43752,43505,49661,42960
경상남도,52846,49155,47802,44175,44624,45324,46151,41622
제주특별자치도,11192,11755,12645,11862,10961,11544,11624,11004
