,구별,연령별,시도간전입(2019),시도간전입(2020),시도간전입(2021),2022
1,전국,계,2384948,2534114,2447234,2173605
2,전국,0 - 4세,97677,93752,77659,63267
3,전국,5 - 9세,75072,81107,72188,60184
4,전국,10 - 14세,55810,57945,53577,47929
5,전국,15 - 19세,114029,105158,99392,100532
6,전국,20 - 24세,293906,320061,323378,307371
7,전국,25 - 29세,381705,404255,407593,370700
8,전국,30 - 34세,267541,282980,276020,252040
9,전국,35 - 39세,229179,235780,210937,174928
10,전국,40 - 44세,160378,175934,168025,148579
11,전국,45 - 49세,155858,162177,146825,122497
12,전국,50 - 54세,136094,148095,144861,127895
13,전국,55 - 59세,127875,137215,129057,110359
14,전국,60 - 64세,107343,124539,127641,109407
15,전국,65 - 69세,61729,73738,77821,68027
16,전국,70 - 74세,40833,46826,47399,39329
17,전국,75 - 79세,32330,34279,32842,25823
18,전국,80세이상,47589,50273,52019,44738
19,서울특별시,계,475866,510014,461123,430576
20,서울특별시,0 - 4세,13607,14144,10347,8405
21,서울특별시,5 - 9세,12043,13284,10791,9107
22,서울특별시,10 - 14세,10187,10543,8847,8295
23,서울특별시,15 - 19세,25296,23109,20075,23341
24,서울특별시,20 - 24세,76685,82089,79450,81824
25,서울특별시,25 - 29세,95023,99948,96269,91887
26,서울특별시,30 - 34세,55762,60858,53891,51539
27,서울특별시,35 - 39세,40368,42988,35552,30203
28,서울특별시,40 - 44세,27955,30909,27324,24747
29,서울특별시,45 - 49세,27098,28028,23154,19912
30,서울특별시,50 - 54세,22323,24562,22342,20355
31,서울특별시,55 - 59세,20178,22339,18900,15937
32,서울특별시,60 - 64세,17977,20735,19132,16165
33,서울특별시,65 - 69세,10562,13094,13030,11044
34,서울특별시,70 - 74세,7254,8521,8144,6463
35,서울특별시,75 - 79세,5618,6105,5668,4517
36,서울특별시,80세이상,7930,8758,8207,6835
37,부산광역시,계,109594,121538,116166,104892
38,부산광역시,0 - 4세,4316,4601,3683,2970
39,부산광역시,5 - 9세,3303,3761,3178,2715
40,부산광역시,10 - 14세,2302,2368,2182,1975
41,부산광역시,15 - 19세,5849,5376,5171,5512
42,부산광역시,20 - 24세,17932,19967,20458,19959
43,부산광역시,25 - 29세,18281,19823,20025,18115
44,부산광역시,30 - 34세,11425,13256,12841,11894
45,부산광역시,35 - 39세,10035,11072,9726,8011
46,부산광역시,40 - 44세,7014,8084,7713,6874
47,부산광역시,45 - 49세,6573,7060,6369,5317
48,부산광역시,50 - 54세,5299,6244,5927,5191
49,부산광역시,55 - 59세,4959,5465,4984,4413
50,부산광역시,60 - 64세,4255,5399,4973,4230
51,부산광역시,65 - 69세,2626,3222,3144,2787
52,부산광역시,70 - 74세,1699,1967,1963,1702
53,부산광역시,75 - 79세,1437,1517,1329,1114
54,부산광역시,80세이상,2289,2356,2500,2113
55,대구광역시,계,81250,91180,83076,81567
56,대구광역시,0 - 4세,3624,3310,2789,2701
