"시점","연령별(1)",귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명)
"시점","연령별(1)",전국,부산광역시,대구광역시,인천광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"2015","계",466778,12843,12043,4721,13544,5639,130769,31694,29531,48442,22055,39145,47894,58112,10346
"2016","계",475489,11316,22783,4496,9266,5764,135479,27952,30126,50747,20838,35602,52042,57141,11937
"2017","계",497187,9677,25791,4903,9622,5322,142433,27885,32824,48772,20057,37698,52326,66432,13445
"2018","계",472474,9515,16592,4650,10143,4653,132613,30023,34287,46969,18978,37349,53767,59524,13411
"2019","계",444464,7515,14367,4347,10115,4597,122058,31873,31338,44813,17292,36048,53924,54559,11618
"2020","계",477122,13735,13509,4592,9404,5916,151713,32072,30954,46841,18537,38366,50563,48880,12040
"2021","계",495658,10782,14057,4928,9903,6675,161504,30478,30654,53250,18522,42611,52864,47123,12307
"2022","계",421106,9577,11502,4791,8480,4718,118173,27052,28246,50959,18785,37543,45948,43565,11767
