"이동후 시도별","항목",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"이동후 시도별","항목",전국,전국,전국,서울특별시,서울특별시,서울특별시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,인천광역시,인천광역시,인천광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,세종특별자치시,세종특별자치시,세종특별자치시,경기도,경기도,경기도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,제주특별자치도,전국,전국,전국,서울특별시,서울특별시,서울특별시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,인천광역시,인천광역시,인천광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,세종특별자치시,세종특별자치시,세종특별자치시,경기도,경기도,경기도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,제주특별자치도,전국,전국,전국,서울특별시,서울특별시,서울특별시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,인천광역시,인천광역시,인천광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,세종특별자치시,세종특별자치시,세종특별자치시,경기도,경기도,경기도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,제주특별자치도,전국,전국,전국,서울특별시,서울특별시,서울특별시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,인천광역시,인천광역시,인천광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,세종특별자치시,세종특별자치시,세종특별자치시,경기도,경기도,경기도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,제주특별자치도
"이동후 시도별","항목",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"전국","귀농가구원수 (명)",16181,-1675,-9.4,2505,-338,-11.9,1000,-126,-11.2,1350,-34,-2.5,931,-75,-7.5,1163,-67,-5.4,643,-9,-1.4,366,-109,-22.9,99,21,26.9,3185,-389,-10.9,462,-33,-6.7,374,-44,-10.5,455,18,4.1,934,-111,-10.6,556,-66,-10.6,927,-72,-7.2,1066,-186,-14.9,165,-55,-25.0,17447,1266,7.8,2598,93,3.7,1036,36,3.6,1219,-131,-9.7,955,24,2.6,1307,144,12.4,765,122,19.0,415,49,13.4,130,31,31.3,3695,510,16.0,429,-33,-7.1,396,22,5.9,512,57,12.5,1136,202,21.6,669,113,20.3,996,69,7.4,986,-80,-7.5,203,38,23.0,19776,2329,13.3,3013,415,16.0,1131,95,9.2,1404,185,15.2,1070,115,12.0,1434,127,9.7,865,100,13.1,571,156,37.6,137,7,5.4,4191,496,13.4,503,74,17.2,447,51,12.9,641,129,25.2,1042,-94,-8.3,760,91,13.6,1107,111,11.1,1280,294,29.8,180,-23,-11.3,16906,-2870,-14.5,2585,-428,-14.2,1061,-70,-6.2,1381,-23,-1.6,954,-116,-10.8,1025,-409,-28.5,640,-225,-26.0,412,-159,-27.8,129,-8,-5.8,3841,-350,-8.4,382,-121,-24.1,370,-77,-17.2,509,-132,-20.6,834,-208,-20.0,550,-210,-27.6,1004,-103,-9.3,1013,-267,-20.9,216,36,20.0
"부산광역시","귀농가구원수 (명)",20,-16,-44.4,4,,,13,-6,-31.6,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,X,X,X,0,,,65,45,225.0,0,-4,-100.0,52,39,300.0,0,,,0,,,0,,,X,X,X,4,,,0,,,4,,,0,,,0,,,0,,,0,,,0,,,X,X,X,X,X,X,0,,,43,-22,-33.8,4,,,25,-27,-51.9,X,X,X,X,X,X,0,,,X,X,X,X,X,X,0,,,X,X,X,0,,,X,X,X,0,,,0,,,0,,,0,,,4,,,0,,,35,-8,-18.6,0,-4,-100.0,22,-3,-12.0,0,,,X,X,X,0,,,0,,,X,X,X,0,,,X,X,X,0,,,0,,,0,,,0,,,0,,,X,X,X,7,3,75.0,0,,
"대구광역시","귀농가구원수 (명)",135,22,19.5,5,,,4,,,100,0,0.0,X,X,X,0,,,X,X,X,X,X,X,0,,,9,,,X,X,X,0,,,0,,,0,,,0,,,12,8,200.0,0,,,0,,,97,-38,-28.1,X,X,X,X,X,X,77,-23,-23.0,0,,,0,,,0,,,X,X,X,0,,,8,-1,-11.1,X,X,X,0,,,0,,,0,,,0,,,4,-8,-66.7,X,X,X,0,,,111,14,14.4,X,X,X,X,X,X,90,13,16.9,0,,,0,,,0,,,X,X,X,0,,,X,X,X,0,,,0,,,0,,,0,,,0,,,10,6,150.0,X,X,X,0,,,103,-8,-7.2,6,,,X,X,X,78,-12,-13.3,X,X,X,0,,,0,,,6,,,0,,,X,X,X,0,,,X,X,X,0,,,0,,,X,X,X,X,X,X,0,,,X,X,X
"인천광역시","귀농가구원수 (명)",194,-7,-3.5,37,-37,-50.0,0,,,X,X,X,91,13,16.7,0,,,X,X,X,X,X,X,0,,,55,12,27.9,0,,,0,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,,,169,-25,-12.9,41,4,10.8,X,X,X,0,,,73,-18,-19.8,0,,,0,,,0,,,0,,,52,-3,-5.5,0,,,0,,,0,,,0,,,0,,,X,X,X,X,X,X,0,,,229,60,35.5,60,19,46.3,0,,,0,,,111,38,52.1,0,,,0,,,0,,,0,,,54,2,3.8,0,,,0,,,X,X,X,X,X,X,0,,,0,,,0,,,X,X,X,154,-75,-32.8,35,-25,-41.7,0,,,0,,,71,-40,-36.0,0,,,X,X,X,0,,,0,,,47,-7,-13.0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"울산광역시","귀농가구원수 (명)",80,-47,-37.0,5,1,25.0,23,-1,-4.2,X,X,X,0,,,0,,,0,,,40,-39,-49.4,0,,,X,X,X,0,,,0,,,0,,,0,,,0,,,X,X,X,4,,,0,,,109,29,36.3,0,-5,-100.0,23,0,0.0,X,X,X,X,X,X,0,,,0,,,61,21,52.5,0,,,5,,,0,,,0,,,X,X,X,0,,,X,X,X,6,,,9,5,125.0,0,,,157,48,44.0,12,,,21,-2,-8.7,X,X,X,0,,,X,X,X,0,,,104,43,70.5,0,,,6,1,20.0,0,,,0,,,0,,,0,,,X,X,X,5,-1,-16.7,6,-3,-33.3,0,,,104,-53,-33.8,10,-2,-16.7,14,-7,-33.3,X,X,X,X,X,X,0,,,0,,,63,-41,-39.4,0,,,X,X,X,0,,,0,,,X,X,X,0,,,0,,,X,X,X,9,3,50.0,0,,
"세종특별자치시","귀농가구원수 (명)",103,-17,-14.2,8,-17,-68.0,0,,,0,,,6,,,0,,,35,6,20.7,0,,,24,2,9.1,20,3,17.6,0,,,X,X,X,6,-9,-60.0,0,,,X,X,X,0,,,0,,,0,,,99,-4,-3.9,14,6,75.0,0,,,0,,,X,X,X,0,,,22,-13,-37.1,0,,,31,7,29.2,11,-9,-45.0,X,X,X,5,,,10,4,66.7,X,X,X,0,,,X,X,X,0,,,0,,,134,35,35.4,19,5,35.7,0,,,0,,,X,X,X,X,X,X,35,13,59.1,X,X,X,37,6,19.4,18,7,63.6,0,,,7,2,40.0,8,-2,-20.0,X,X,X,0,,,0,,,X,X,X,0,,,103,-31,-23.1,22,3,15.8,0,,,0,,,9,,,X,X,X,16,-19,-54.3,0,,,23,-14,-37.8,15,-3,-16.7,0,,,X,X,X,8,0,0.0,X,X,X,X,X,X,X,X,X,0,,,X,X,X
"경기도","귀농가구원수 (명)",1403,-131,-8.5,445,-83,-15.7,7,-5,-41.7,9,1,12.5,96,8,9.1,8,0,0.0,17,10,142.9,6,,,9,,,759,-71,-8.6,4,-8,-66.7,4,-5,-55.6,12,7,140.0,8,,,0,,,12,2,20.0,6,,,X,X,X,1793,390,27.8,497,52,11.7,15,8,114.3,12,3,33.3,81,-15,-15.6,11,3,37.5,15,-2,-11.8,6,0,0.0,7,-2,-22.2,1027,268,35.3,17,13,325.0,15,11,275.0,28,16,133.3,22,14,175.0,6,,,16,4,33.3,11,5,83.3,7,,,1929,136,7.6,588,91,18.3,5,-10,-66.7,X,X,X,102,21,25.9,9,-2,-18.2,23,8,53.3,9,3,50.0,6,-1,-14.3,1109,82,8.0,16,-1,-5.9,8,-7,-46.7,14,-14,-50.0,6,-16,-72.7,6,0,0.0,12,-4,-25.0,7,-4,-36.4,7,0,0.0,1888,-41,-2.1,570,-18,-3.1,16,11,220.0,15,,,93,-9,-8.8,6,-3,-33.3,21,-2,-8.7,4,-5,-55.6,X,X,X,1065,-44,-4.0,17,1,6.3,8,0,0.0,12,-2,-14.3,15,9,150.0,7,1,16.7,13,1,8.3,17,10,142.9,7,0,0.0
