"시점","연령별(1)",귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명)
"시점","연령별(1)",전국,부산광역시,대구광역시,인천광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"2015","계",466778,12843,12043,4721,13544,5639,130769,31694,29531,48442,22055,39145,47894,58112,10346
"2015","0 - 29세",123822,3070,2976,1175,3458,1594,36494,11321,8043,13071,4852,9531,11674,14330,2233
"2015","30 - 39세",115743,4175,3529,849,3627,1403,33409,6043,7143,12407,4765,9487,10929,15232,2745
"2016","계",475489,11316,22783,4496,9266,5764,135479,27952,30126,50747,20838,35602,52042,57141,11937
"2016","0 - 29세",124888,2762,6105,1130,2332,1647,38222,7811,8311,13583,4682,8844,12879,14026,2554
"2016","30 - 39세",118525,3364,7822,824,2425,1479,34152,5707,7349,12827,4377,8244,12440,14526,2989
"2017","계",497187,9677,25791,4903,9622,5322,142433,27885,32824,48772,20057,37698,52326,66432,13445
"2017","0 - 29세",132392,2331,7068,1196,2528,1571,40455,7819,8970,13090,4477,9388,13475,16789,3235
"2017","30 - 39세",121073,2640,8138,846,2475,1274,35496,5363,7975,11660,4013,8321,12513,17034,3325
"2018","계",472474,9515,16592,4650,10143,4653,132613,30023,34287,46969,18978,37349,53767,59524,13411
"2018","0 - 29세",125272,2326,4506,1117,2571,1343,37557,8172,9905,12530,4116,9190,13597,15206,3136
"2018","30 - 39세",111038,2608,5170,750,2639,1078,30616,6438,8380,11147,3598,7961,12281,15020,3352
"2019","계",444464,7515,14367,4347,10115,4597,122058,31873,31338,44813,17292,36048,53924,54559,11618
"2019","0 - 29세",119542,1862,3823,1098,2555,1401,34949,8487,9233,12167,3774,9351,13867,14276,2699
"2019","30 - 39세",101144,2107,3994,773,2467,1017,27089,7017,7322,10290,3095,7772,12294,13220,2687
"2020","계",477122,13735,13509,4592,9404,5916,151713,32072,30954,46841,18537,38366,50563,48880,12040
"2020","0 - 29세",125627,3455,3502,1182,2492,1690,42556,8758,8888,12331,3961,9743,12278,11937,2854
"2020","30 - 39세",103285,3583,3866,753,2136,1303,33705,6563,6802,9966,3143,7804,10489,10381,2791
"2021","계",495658,10782,14057,4928,9903,6675,161504,30478,30654,53250,18522,42611,52864,47123,12307
"2021","0 - 29세",128944,2656,3792,1064,2570,2193,44811,7882,8730,13750,3890,10462,12974,11236,2934
"2021","30 - 39세",103118,2586,3700,803,2169,1532,35369,5685,6355,11277,2949,8106,10318,9593,2676
"2022","계",421106,9577,11502,4791,8480,4718,118173,27052,28246,50959,18785,37543,45948,43565,11767
"2022","0 - 29세",105896,2401,3191,1084,2124,1439,32945,6459,7867,12796,3733,8779,10461,9932,2685
"2022","30 - 39세",85779,2622,3240,812,2042,1027,24543,5000,5690,11083,3070,6858,8540,8698,2554
