"연령별",2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"연령별",귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명),귀촌인수 (명)
"연령별",계,계,계,계,계,계,계,계,계,계,계,계
"연령별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"계",444464,-28010,-5.9,477122,32658,7.3,495658,18536,3.9,421106,-74552,-15.0
"0 - 29세",119542,-5730,-4.6,125627,6085,5.1,128944,3317,2.6,105896,-23048,-17.9
"30 - 39세",101144,-9894,-8.9,103285,2141,2.1,103118,-167,-0.2,85779,-17339,-16.8
"40 - 49세",73035,-5465,-7.0,78384,5349,7.3,78835,451,0.6,64816,-14019,-17.8
"50 - 59세",74794,-3628,-4.6,79980,5186,6.9,83594,3614,4.5,73188,-10406,-12.4
"60 - 69세",47964,-1459,-3.0,57325,9361,19.5,66391,9066,15.8,61213,-5178,-7.8
"70세 이상",27985,-1834,-6.2,32521,4536,16.2,34776,2255,6.9,30214,-4562,-13.1
