,구별,연도합_귀촌인,연도합_귀농인,지역_귀농_귀촌_합계,연도합_귀촌인/20
2,인천광역시,37428,1480,38908,1871.4
4,세종특별자치시,43284,885,44169,2164.2
3,울산광역시,80477,994,81471,4023.85
0,부산광역시,84960,371,85331,4248.0
13,제주특별자치도,96871,3797,100668,4843.55
1,대구광역시,130644,1078,131722,6532.2
9,전라북도,155064,15742,170806,7753.2
6,강원도,239029,11762,250791,11951.45
7,충청북도,247960,11215,259175,12398.0
10,전라남도,304362,23810,328172,15218.1
8,충청남도,390793,16931,407724,19539.65
11,경상북도,409328,27067,436395,20466.4
12,경상남도,435336,18516,453852,21766.8
5,경기도,1094742,14567,1109309,54737.1
