구별,시도간전입(2019),시도간전입(2020),시도간전입(2021),시도간전입(2022)
전국,943152,1007296,1006991,930111
서울특별시,227470,242895,229610,225250
부산광역시,47638,53046,53324,49968
대구광역시,34007,39874,37501,37571
인천광역시,55632,56609,61409,60551
광주광역시,27045,28412,28433,24556
대전광역시,35829,38606,40119,38186
울산광역시,16956,17805,18515,17820
세종특별자치시,17123,15661,15947,14034
경기도,231366,255882,254269,216062
강원특별자치시도,27480,28980,29538,27502
충청북도,30019,32006,32987,31916
충청남도,42800,45943,46678,44475
전라북도,20508,22106,22857,20772
전라남도,29942,29098,28368,25862
경상북도,43752,43505,49661,42960
경상남도,44624,45324,46151,41622
제주특별자치도,10961,11544,11624,11004
